City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
363,Kattivakkam,IN,13.2167,80.3167,80.69,83,38,4.36,scattered clouds
364,Black Diamond,US,47.3087,-122.0032,45.28,88,34,3.76,scattered clouds
365,Cabra,ES,37.4725,-4.4421,48.13,83,0,2.15,clear sky
366,Kortkeros,RU,61.8106,51.5806,17.6,94,100,6.46,overcast clouds
367,Barra Do Garcas,BR,-15.89,-52.2567,72.81,97,99,3.4,overcast clouds
368,Grand Gaube,MU,-20.0064,57.6608,79.38,81,100,3,overcast clouds
369,Mayo,US,38.8876,-76.5119,34.25,66,100,1.01,overcast clouds
370,Khonsa,IN,27.0167,95.5667,54.18,62,0,3.13,clear sky
371,Luganville,VU,-15.5333,167.1667,85.08,74,100,8.52,moderate rain
372,Khandyga,RU,62.6667,135.6,-22.02,89,90,1.07,overcast clouds
373,Romny,UA,50.751,33.4747,22.8,90,71,11.34,broken clouds
374,Lanivtsi,UA,49.8633,26.0908,35.55,86,100,13.67,overcast clouds
375,Oktyabrskiy,RU,54.4815,53.471,11.68,97,100,3.36,overcast clouds
376,Cherskiy,RU,68.75,161.3,-27.85,100,25,1.28,scattered clouds
377,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,18.41,light snow
378,Katobu,ID,-4.9408,122.5276,85.3,68,99,7.45,overcast clouds
379,Omboue,GA,-1.5746,9.2618,77.04,87,74,5.46,broken clouds
380,Fergus Falls,US,46.283,-96.0776,-2.22,76,0,0,clear sky
381,Tosham,IN,28.8833,75.9167,54.73,68,0,6.38,clear sky
382,Kauhajoki,FI,62.4333,22.1833,28.76,94,100,8.05,overcast clouds
383,Tomatlan,MX,19.9333,-105.25,67.48,83,100,1.54,overcast clouds
384,Clyde River,CA,70.4692,-68.5914,-30.77,68,20,10.36,few clouds
385,Saldanha,ZA,-33.0117,17.9442,62.65,99,35,7.87,scattered clouds
386,Adrar,MR,20.5022,-10.0711,63.27,11,2,9.82,clear sky
387,Lagoa,PT,39.05,-27.9833,59.56,85,7,16.49,clear sky
388,Colares,PT,38.7992,-9.4469,53.89,45,4,5.01,clear sky
389,Byron Bay,AU,-28.65,153.6167,78.87,61,83,17.47,broken clouds
390,Ambulu,ID,-8.345,113.6058,86.32,65,32,1.7,scattered clouds
391,Antalaha,MG,-14.9003,50.2788,74.95,84,41,4.25,scattered clouds
392,Flinders,AU,-34.5833,150.8552,75.18,63,44,10,scattered clouds
393,Palasa,IN,18.7667,84.4167,72.09,62,98,2.95,overcast clouds
394,Dwarka,IN,22.2394,68.9678,68.23,62,4,4.68,clear sky
395,Kourou,GF,5.1552,-52.6478,80.11,91,99,6.29,overcast clouds
396,Shirokiy,RU,49.758,129.523,0.97,90,100,2.24,overcast clouds
397,Nome,US,64.5011,-165.4064,-7.53,59,0,13.8,clear sky
398,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.3,97,96,2.71,overcast clouds
399,Yankton,US,42.8711,-97.3973,28.11,63,100,3.44,overcast clouds
400,Amapa,BR,1,-52,71.08,99,100,1.41,overcast clouds
401,Mount Gambier,AU,-37.8333,140.7667,89.51,14,0,17.27,clear sky
402,Dothan,US,31.2232,-85.3905,49.91,83,100,4,overcast clouds
403,Nsanje,MW,-16.92,35.262,70.84,99,88,2.08,light rain
404,Sanary-Sur-Mer,FR,43.1178,5.8001,54.91,70,16,15.01,few clouds
405,Asau,RO,46.4333,26.4,33.76,74,100,5.95,overcast clouds
406,Buchanan,LR,5.8808,-10.0467,77.54,87,90,5.46,light rain
407,Aitape,PG,-3.1374,142.3475,84.02,71,100,6.06,light rain
408,Ahuimanu,US,21.4447,-157.8378,80.31,69,20,7,few clouds
409,Hay River,CA,60.8156,-115.7999,4.98,78,40,2.3,scattered clouds
410,Guerrero Negro,MX,27.9769,-114.0611,60.46,55,0,8.66,clear sky
411,Diamantino,BR,-14.4086,-56.4461,73.92,95,100,3.98,overcast clouds
412,Novopokrovka,UA,49.8425,36.5477,32.38,93,40,7.2,light snow
413,Acajutla,SV,13.5928,-89.8275,79.81,64,19,4.76,few clouds
414,Ixtapa,MX,20.7,-105.2,72.63,83,75,2.3,broken clouds
415,Matara,LK,5.9485,80.5353,80.56,73,100,4.47,overcast clouds
416,Nadym,RU,65.5333,72.5167,-14.96,100,100,9.04,overcast clouds
417,Yinchuan,CN,38.4681,106.2731,23.47,80,100,2.93,overcast clouds
418,Kuching,MY,1.55,110.3333,80.82,83,75,5.75,moderate rain
419,Charters Towers,AU,-20.1,146.2667,83.75,44,99,6.62,overcast clouds
420,San Vicente,AR,-26.6167,-54.1333,58.8,63,0,2.82,clear sky
421,Puerto Leguizamo,CO,-0.1934,-74.7819,73.2,95,91,1.88,light rain
422,Mbarara,UG,-0.608,30.65,63.5,75,100,3.18,overcast clouds
423,Stephenville,US,32.2207,-98.2023,44.24,57,0,3.44,clear sky
424,Greytown,ZA,-29.0642,30.5928,55.17,98,16,2.1,few clouds
425,Hohhot,CN,40.8106,111.6522,25.09,22,0,4.47,clear sky
426,Merrill,US,45.1805,-89.6835,17.55,67,100,8.05,overcast clouds
427,Alegrete,BR,-29.7831,-55.7919,62.74,44,0,7.47,clear sky
428,Hope,US,33.6671,-93.5916,41.07,64,0,1.83,clear sky
429,Dalbandin,PK,28.8947,64.4101,50.25,29,61,8.39,broken clouds
430,Vestmannaeyjar,IS,63.4427,-20.2734,37.38,97,100,58.56,overcast clouds
431,Vila,PT,42.0304,-8.1588,39.33,83,48,5.37,scattered clouds
432,Gat,IL,31.61,34.7642,54.39,100,6,6.8,clear sky
433,Yenagoa,NG,4.9247,6.2642,75.33,89,8,2.51,clear sky
434,Axim,GH,4.8699,-2.2405,77.94,88,100,3.87,overcast clouds
435,Lerwick,GB,60.1545,-1.1494,39.2,55,63,30.22,broken clouds
436,Ostashkov,RU,57.1467,33.1075,28.92,95,96,9.4,overcast clouds
437,General Pico,AR,-35.6566,-63.7568,57.79,45,0,5.03,clear sky
438,Tual,ID,-5.6667,132.75,83.21,70,33,2.66,scattered clouds
439,Atbasar,KZ,51.8,68.3333,10.65,93,93,8.34,overcast clouds
440,Rio Gallegos,AR,-51.6226,-69.2181,66.25,42,0,29.93,clear sky
441,Biak,ID,-0.9131,122.8766,83.59,65,99,1.9,overcast clouds
